Price,Close,High,Low,Open,Volume
Ticker,GLD,GLD,GLD,GLD,GLD
Date,,,,,
2026-01-06,413.17999267578125,413.4800109863281,410.30999755859375,410.6700134277344,11640900
2026-01-07,409.2300109863281,410.80999755859375,406.6499938964844,408.6300048828125,10589500
2026-01-08,411.489990234375,411.6400146484375,406.3999938964844,406.9700012207031,8705900
2026-01-09,414.4700012207031,415.2900085449219,411.79998779296875,413.2200012207031,14011200
2026-01-12,422.2300109863281,425.739990234375,421.5199890136719,421.5199890136719,20904100
2026-01-13,421.6300048828125,426.1199951171875,420.07000732421875,424.5899963378906,16681200
2026-01-14,425.94000244140625,426.8599853515625,422.8399963378906,426.0299987792969,18305500
2026-01-15,423.3299865722656,425.05999755859375,422.7900085449219,423.0199890136719,14253200
2026-01-16,421.2900085449219,424.79998779296875,417.0400085449219,422.79998779296875,20951600
2026-01-20,437.2300109863281,438.1400146484375,434.1000061035156,436.69000244140625,21308100
2026-01-21,443.6000061035156,448.0,437.1099853515625,446.8699951171875,38830200
2026-01-22,451.7900085449219,452.9800109863281,443.55999755859375,443.8399963378906,19251200
2026-01-23,458.0,458.75,453.45001220703125,454.1099853515625,21531900
2026-01-26,464.70001220703125,469.2799987792969,460.3599853515625,466.7799987792969,34156000
2026-01-27,476.1000061035156,476.489990234375,463.95001220703125,465.07000732421875,28386200
2026-01-28,494.55999755859375,495.8800048828125,481.25,483.3900146484375,44154600
2026-01-29,495.8999938964844,509.70001220703125,468.510009765625,509.510009765625,69970900
2026-01-30,444.95001220703125,470.05999755859375,430.79998779296875,466.25,86593500
2026-02-02,427.1300048828125,440.7799987792969,422.54998779296875,434.010009765625,41626200
2026-02-03,454.2900085449219,459.0,448.30999755859375,452.6300048828125,28703500
2026-02-04,453.9700012207031,463.1000061035156,445.7099914550781,462.4700012207031,24427900
2026-02-05,441.8800048828125,450.8999938964844,440.3500061035156,444.2900085449219,17718100
2026-02-06,455.4599914550781,456.92999267578125,450.0299987792969,450.7300109863281,12663900
2026-02-09,467.0299987792969,467.55999755859375,460.8500061035156,461.3900146484375,12330900
2026-02-10,462.3999938964844,466.75,459.5199890136719,465.9599914550781,7861600
2026-02-11,467.6300048828125,468.6099853515625,462.82000732421875,466.0,11209600
2026-02-12,451.3900146484375,466.3800048828125,448.05999755859375,464.8999938964844,20488800
2026-02-13,462.6199951171875,463.8399963378906,456.25,459.7300109863281,12359300
2026-02-17,448.20001220703125,451.3699951171875,445.5299987792969,450.260009765625,10976100
2026-02-18,458.2799987792969,460.510009765625,455.32000732421875,455.80999755859375,10226300
2026-02-19,459.55999755859375,461.510009765625,456.0299987792969,457.3399963378906,8411400
2026-02-20,468.6199951171875,468.6199951171875,458.3399963378906,463.25,14316300
